iter	Passed	Remaining
1608	6167	1882
1609	6171	1878
1610	6178	1875
1611	6183	1871
1612	6187	1868
1613	6192	1864
1614	6196	1860
1615	6200	1857
1616	6205	1853
1617	6209	1849
1618	6213	1846
1619	6225	1844
1620	6228	1840
1621	6233	1836
1622	6237	1833
1623	6243	1829
1624	6247	1826
1625	6251	1822
1626	6255	1818
1627	6259	1814
1628	6263	1811
1629	6268	1807
1630	6272	1803
1631	6278	1800
1632	6283	1796
1633	6287	1793
1634	6291	1789
1635	6295	1785
1636	6298	1781
1637	6303	1777
1638	6306	1773
1639	6310	1770
1640	6314	1766
1641	6318	1762
1642	6321	1758
1643	6325	1754
1644	6329	1750
1645	6333	1746
1646	6337	1742
1647	6340	1739
1648	6343	1735
1649	6347	1731
1650	6351	1727
1651	6355	1723
1652	6359	1719
1653	6363	1715
1654	6367	1711
1655	6371	1708
1656	6375	1704
1657	6379	1700
1658	6382	1696
1659	6386	1692
1660	6390	1689
1661	6394	1685
1662	6398	1681
1663	6402	1677
1664	6406	1673
1665	6409	1669
1666	6413	1665
1667	6417	1662
1668	6421	1658
1669	6425	1654
1670	6429	1650
1671	6433	1646
1672	6437	1642
1673	6441	1639
1674	6444	1635
1675	6448	1631
1676	6452	1627
1677	6456	1623
1678	6460	1619
1679	6464	1616
1680	6468	1612
1681	6471	1608
1682	6475	1604
1683	6479	1600
1684	6482	1596
1685	6486	1592
1686	6490	1589
1687	6494	1585
1688	6498	1581
